time_ns,source,destination,route,rtt_ns,hop_count,failed_isls,status
19200000000,12,13,12-4-3-13,25329600.8569794223,3,,NORMAL
19300000000,12,13,12-4-3-13,25328220.8277804591,3,,NORMAL
19400000000,12,13,12-4-3-13,25326844.4691874012,3,,NORMAL
19500000000,12,13,12-4-3-13,25325476.7298670150,3,,NORMAL
19600000000,12,13,12-4-3-13,25324108.6360975392,3,,NORMAL
19700000000,12,13,12-4-3-13,25322745.9741005041,3,,NORMAL
19800000000,12,13,12-4-3-13,25321386.1470178254,3,,NORMAL
19900000000,12,13,12-4-3-13,25320032.5856153592,3,,NORMAL
20000000000,12,13,12-4-3-13,25318683.6220981628,3,,NORMAL
20100000000,12,13,12-4-3-13,25317337.0305433795,3,,NORMAL
20200000000,12,13,12-4-3-13,25315995.4044964537,3,,NORMAL
20300000000,12,13,12-4-3-13,25314658.8409015574,3,,NORMAL
20400000000,12,13,12-4-3-13,25313328.0784241110,3,,NORMAL
20500000000,12,13,12-4-3-13,25311998.0182505175,3,,NORMAL
20600000000,12,13,12-4-3-13,25310676.7910409793,3,,NORMAL
20700000000,12,13,12-4-3-13,25309355.2418683246,3,,NORMAL
20800000000,12,13,12-4-3-13,25308037.1183451414,3,,NORMAL
20900000000,12,13,12-4-3-13,25306727.8559576198,3,,NORMAL
21000000000,12,13,12-4-3-13,25305423.1605401225,3,,NORMAL
21100000000,12,13,12-4-3-13,25304118.1451678127,3,,NORMAL
21200000000,12,13,12-4-3-13,25302819.9837229177,3,,NORMAL
21300000000,12,13,12-4-3-13,25301530.2842854112,3,,NORMAL
21400000000,12,13,12-4-3-13,25300237.2044102475,3,,NORMAL
21500000000,12,13,12-4-3-13,25298954.8412628435,3,,NORMAL
21600000000,12,13,12-4-3-13,25297670.0297662616,3,,NORMAL
21700000000,12,13,12-4-3-13,25296398.5296625607,3,,NORMAL
21800000000,12,13,12-4-3-13,25295125.1666313745,3,,NORMAL
21900000000,12,13,12-4-3-13,25293858.2839263529,3,,NORMAL
22000000000,12,13,12-4-3-13,25292590.8379237428,3,,NORMAL
22100000000,12,13,12-4-3-13,25291334.5703741908,3,,NORMAL
22200000000,12,13,12-4-3-13,25290081.3855293654,3,,NORMAL
22300000000,12,13,12-4-3-13,25288830.8220214248,3,,NORMAL
22400000000,12,13,12-4-3-13,25287582.0068801492,3,,NORMAL
22500000000,12,13,12-4-3-13,25286341.2210496329,3,,NORMAL
22600000000,12,13,12-4-3-13,25285103.8887262940,3,,NORMAL
22700000000,12,13,12-4-3-13,25283870.0700375214,3,,NORMAL
22800000000,12,13,12-4-3-13,25282641.2181948610,3,,NORMAL
22900000000,12,13,12-4-3-13,25281415.2004270852,3,,NORMAL
23000000000,12,13,12-4-3-13,25280197.2138053477,3,,NORMAL
23100000000,12,13,12-4-3-13,25278983.9409602657,3,,NORMAL
23200000000,12,13,12-4-3-13,25277767.7609554827,3,,NORMAL
23300000000,12,13,12-4-3-13,25276563.0052944496,3,,NORMAL
23400000000,12,13,12-4-3-13,25275357.6518873610,3,,NORMAL
23500000000,12,13,12-4-3-13,25274161.9958871342,3,,NORMAL
23600000000,12,13,12-4-3-13,25272964.9081229828,3,,NORMAL
23700000000,12,13,12-4-3-13,25271776.2205508761,3,,NORMAL
23800000000,12,13,12-4-3-13,25270590.8301996514,3,,NORMAL
23900000000,12,13,12-4-3-13,25269412.9654122703,3,,NORMAL
24000000000,12,13,12-4-3-13,25268234.0763272755,3,,NORMAL
24100000000,12,13,12-4-3-13,25267058.7401859500,3,,NORMAL
24200000000,12,13,12-4-3-13,25265890.7148390710,3,,NORMAL
24300000000,12,13,12-4-3-13,25264727.6561484970,3,,NORMAL
24400000000,12,13,12-4-3-13,25263567.4311469272,3,,NORMAL
24500000000,12,13,12-4-3-13,25262413.7843046375,3,,NORMAL
24600000000,12,13,12-4-3-13,25261262.6586117260,3,,NORMAL
24700000000,12,13,12-4-3-13,25260116.1307538226,3,,NORMAL
24800000000,12,13,12-4-3-13,25258974.9930210970,3,,NORMAL
24900000000,12,13,12-4-3-13,25257835.6874417551,3,,NORMAL
25000000000,12,13,12-4-3-13,25256701.0923427939,3,,NORMAL
25100000000,12,13,12-4-3-13,25255573.9077223353,3,,NORMAL
25200000000,12,13,12-4-3-13,25254448.8786894307,3,,NORMAL
25300000000,12,13,12-4-3-13,25253326.8957685865,3,,NORMAL
25400000000,12,13,12-4-3-13,25252211.4293847270,3,,NORMAL
25500000000,12,13,12-4-3-13,25251100.3099474497,3,,NORMAL
25600000000,12,13,12-4-3-13,25249993.9426496364,3,,NORMAL
25700000000,12,13,12-4-3-13,25248889.7891285643,3,,NORMAL
25800000000,12,13,12-4-3-13,25247789.3472755812,3,,NORMAL
25900000000,12,13,12-4-3-13,25246697.4679623134,3,,NORMAL
26000000000,12,13,12-4-3-13,25245607.3797788583,3,,NORMAL
26100000000,12,13,12-4-3-13,25244518.5022959486,3,,NORMAL
26200000000,12,13,12-4-3-13,25243439.0179750174,3,,NORMAL
26300000000,12,13,12-4-3-13,25242361.3271785192,3,,NORMAL
26400000000,12,13,12-4-3-13,25241290.3674169183,3,,NORMAL
26500000000,12,13,12-4-3-13,25240220.9414840229,3,,NORMAL
26600000000,12,13,12-4-3-13,25239155.6946754232,3,,NORMAL
26700000000,12,13,12-4-3-13,25238094.0700679459,3,,NORMAL
26800000000,12,13,12-4-3-13,25237043.6452690065,3,,NORMAL
26900000000,12,13,12-4-3-13,25235993.3476253338,3,,NORMAL
27000000000,12,13,12-4-3-13,25234944.1181339435,3,,NORMAL
27100000000,12,13,12-4-3-13,25233902.4536433443,3,,NORMAL
27200000000,12,13,12-4-3-13,25232865.3869874552,3,,NORMAL
27300000000,12,13,12-4-3-13,25231828.8173136264,3,,NORMAL
27400000000,12,13,12-4-3-13,25230799.5517490953,3,,NORMAL
27500000000,12,13,12-4-3-13,25229775.2506875731,3,,NORMAL
27600000000,12,13,12-9-10-11-7-13,41142503.5589829832,5,,NORMAL
27700000000,12,13,12-9-10-11-7-13,41142161.6104179248,5,,NORMAL
27800000000,12,13,12-9-10-11-7-13,41141830.6379770190,5,,NORMAL
27900000000,12,13,12-9-10-11-7-13,41141497.6137191579,5,,NORMAL
28000000000,12,13,12-9-10-11-7-13,41141169.1460203305,5,,NORMAL
28100000000,12,13,12-9-10-11-7-13,41140852.4831797779,5,,NORMAL
28200000000,12,13,12-9-10-11-7-13,41140536.5051821992,5,,NORMAL
28300000000,12,13,12-9-10-11-7-13,41140220.5915166512,5,,NORMAL
28400000000,12,13,12-9-10-11-7-13,41139915.1212099418,5,,NORMAL
28500000000,12,13,12-9-10-11-7-13,41139612.6797482073,5,,NORMAL
28600000000,12,13,12-9-10-11-7-13,41139315.3734748065,5,,NORMAL
28700000000,12,13,12-9-10-11-7-13,41139024.7465271652,5,,NORMAL
28800000000,12,13,12-9-10-11-7-13,41138735.5633103028,5,,NORMAL
28900000000,12,13,12-9-10-11-7-13,41138454.5886145905,5,,NORMAL
29000000000,12,13,12-9-10-11-7-13,41138174.5954719111,5,,NORMAL
29100000000,12,13,12-9-10-11-7-13,41137901.4098443836,5,,NORMAL
29200000000,12,13,12-9-10-11-7-13,41137629.5402020290,5,,NORMAL
29300000000,12,13,12-9-10-11-7-13,41137366.4258091077,5,,NORMAL
29400000000,12,13,12-9-10-11-7-13,41137102.8466542661,5,,NORMAL
29500000000,12,13,12-9-10-11-7-13,41136853.6895631403,5,,NORMAL
29600000000,12,13,12-9-10-11-7-13,41136601.7510838509,5,,NORMAL
29700000000,12,13,12-9-10-11-7-13,41136357.9862765595,5,,NORMAL
29800000000,12,13,12-9-10-11-7-13,41136113.7600467652,5,,NORMAL
29900000000,12,13,12-9-10-11-7-13,41135878.8156068996,5,,NORMAL
30000000000,12,13,12-9-10-11-7-13,41135644.7000714913,5,,NORMAL
30100000000,12,13,12-9-10-11-7-13,41135423.1336677596,5,,NORMAL
30200000000,12,13,12-9-10-11-7-13,41135199.7957130224,5,,NORMAL
30300000000,12,13,12-9-10-11-7-13,41134980.5340600163,5,,NORMAL
30400000000,12,13,12-9-10-11-7-13,41134765.3542852178,5,,NORMAL
30500000000,12,13,12-9-10-11-7-13,41134563.5333858877,5,,NORMAL
30600000000,12,13,12-9-10-11-7-13,41134360.2029386461,5,,NORMAL
30700000000,12,13,12-9-10-11-7-13,41134159.4132035822,5,,NORMAL
30800000000,12,13,12-9-10-11-7-13,41133966.5942346379,5,,NORMAL
30900000000,12,13,12-9-10-11-7-13,41133781.7494997531,5,,NORMAL
31000000000,12,13,12-9-10-11-7-13,41133594.5931902677,5,,NORMAL
31100000000,12,13,12-9-10-11-7-13,41133416.7646240816,5,,NORMAL
31200000000,12,13,12-9-10-11-7-13,41133236.2253374159,5,,NORMAL
31300000000,12,13,12-9-10-11-7-13,41133071.8585023656,5,,NORMAL
31400000000,12,13,12-9-10-11-7-13,41132904.6800227985,5,,NORMAL
31500000000,12,13,12-9-10-11-7-13,41132741.0573971346,5,,NORMAL
31600000000,12,13,12-9-10-11-7-13,41132589.7726125568,5,,NORMAL
31700000000,12,13,12-9-10-11-7-13,41132435.1794409305,5,,NORMAL
31800000000,12,13,12-9-10-11-7-13,41132288.0483858883,5,,NORMAL
31900000000,12,13,12-9-10-11-7-13,41132147.2072437927,5,,NORMAL
32000000000,12,13,12-9-10-11-7-13,41132012.5133976340,5,,NORMAL
32100000000,12,13,12-9-10-11-7-13,41131882.9984321222,5,,NORMAL
32200000000,12,13,12-9-10-11-7-13,41131754.0884455219,5,,NORMAL
32300000000,12,13,12-9-10-11-7-13,41131635.4547054395,5,,NORMAL
32400000000,12,13,12-9-10-11-7-13,41131512.7377766892,5,,NORMAL
32500000000,12,13,12-9-10-11-7-13,41131397.0501162335,5,,NORMAL
32600000000,12,13,12-9-10-11-7-13,41131291.0097415224,5,,NORMAL
32700000000,12,13,12-9-10-11-7-13,41131189.7740229890,5,,NORMAL
32800000000,12,13,12-9-10-11-7-13,41131090.6117493659,5,,NORMAL
32900000000,12,13,12-9-10-11-7-13,41130997.5737204403,5,,NORMAL
33000000000,12,13,12-9-10-11-7-13,41130906.5460084304,5,,NORMAL
33100000000,12,13,12-9-10-11-7-13,41130824.2527181432,5,,NORMAL
33200000000,12,13,12-9-10-11-7-13,41130744.8253861442,5,,NORMAL
33300000000,12,13,12-9-10-11-7-13,41130668.3469484150,5,,NORMAL
33400000000,12,13,12-9-10-11-7-13,41130597.0963632017,5,,NORMAL
33500000000,12,13,12-9-10-11-7-13,41130530.7171826288,5,,NORMAL
33600000000,12,13,12-9-10-11-7-13,41130470.8195739090,5,,NORMAL
33700000000,12,13,12-9-10-11-7-13,41130419.5318162888,5,,NORMAL
33800000000,12,13,12-9-10-11-7-13,41130366.6290350556,5,,NORMAL
33900000000,12,13,12-9-10-11-7-13,41130315.0130980760,5,,NORMAL
34000000000,12,13,12-9-10-11-7-13,41130278.6684134901,5,,NORMAL
34100000000,12,13,12-9-10-11-7-13,41130240.9123697430,5,,NORMAL
34200000000,12,13,12-9-10-11-7-13,41130205.7789434865,5,,NORMAL
34300000000,12,13,12-9-10-11-7-13,41130182.4035086930,5,,NORMAL
34400000000,12,13,12-9-10-11-7-13,41130157.5926714092,5,,NORMAL
34500000000,12,13,12-9-10-11-7-13,41130142.5058534890,5,,NORMAL
34600000000,12,13,12-9-10-11-7-13,41130128.2463750169,5,,NORMAL
34700000000,12,13,12-9-10-11-7-13,41130119.7589053884,5,,NORMAL
34800000000,12,13,12-9-10-11-7-13,41130115.1820123345,5,,NORMAL
34900000000,12,13,12-9-10-11-7-13,41130119.4206095338,5,,NORMAL
35000000000,12,13,12-9-10-11-7-13,41130121.4348461181,5,,NORMAL
35100000000,12,13,12-9-10-11-7-13,41130130.0807430446,5,,NORMAL
35200000000,12,13,12-9-10-11-7-13,41130149.0500409976,5,,NORMAL
35300000000,12,13,12-9-10-11-7-13,41130171.0294385254,5,,NORMAL
35400000000,12,13,12-9-10-11-7-13,41130196.2222442180,5,,NORMAL
35500000000,12,13,12-9-10-11-7-13,41130229.0146161616,5,,NORMAL
35600000000,12,13,12-9-10-11-7-13,41130261.2043643072,5,,NORMAL
35700000000,12,13,12-9-10-11-7-13,41130298.2658767328,5,,NORMAL
35800000000,12,13,12-9-10-11-7-13,41130348.8810964748,5,,NORMAL
35900000000,12,13,12-9-10-11-7-13,41130398.2099870890,5,,NORMAL
36000000000,12,13,12-9-10-11-7-13,41130448.4984127358,5,,NORMAL
36100000000,12,13,12-9-10-11-7-13,41130508.3850438371,5,,NORMAL
36200000000,12,13,12-9-10-11-7-13,41130568.3578033075,5,,NORMAL
36300000000,12,13,12-9-10-11-7-13,41130643.6069817767,5,,NORMAL
36400000000,12,13,12-9-10-11-7-13,41130712.8468964472,5,,NORMAL
36500000000,12,13,12-9-10-11-7-13,41130790.9595126137,5,,NORMAL
36600000000,12,13,12-9-10-11-7-13,41130875.4981551766,5,,NORMAL
36700000000,12,13,12-9-10-11-7-13,41130958.6402625367,5,,NORMAL
36800000000,12,13,12-9-10-11-7-13,41131055.1791368723,5,,NORMAL
36900000000,12,13,12-9-10-11-7-13,41131154.0459474549,5,,NORMAL
37000000000,12,13,12-9-10-11-7-13,41131251.2078075856,5,,NORMAL
37100000000,12,13,12-9-10-11-7-13,41131359.3340295255,5,,NORMAL
37200000000,12,13,12-9-10-11-7-13,41131470.1267457604,5,,NORMAL
37300000000,12,13,12-9-10-11-7-13,41131585.3001711965,5,,NORMAL
